BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
29220    31170    29067    898      -9.2100000000e+02    -1.3096386091e+03    42.20       277.1 
29316    31277    29163    929      -9.2100000000e+02    -1.3096386091e+03    42.20       277.7 
29412    31384    29259    960      -9.2100000000e+02    -1.3096386091e+03    42.20       278.4 
29508    31491    29355    991      -9.2100000000e+02    -1.3096386091e+03    42.20       279.0 
29595    31588    29442    1017     -9.2100000000e+02    -1.3096386091e+03    42.20       279.7 
29691    31695    29538    1048     -9.2100000000e+02    -1.3096386091e+03    42.20       280.2 
29786    31800    29633    1079     -9.2100000000e+02    -1.3096386091e+03    42.20       280.9 
29882    31907    29729    1110     -9.2100000000e+02    -1.3096386091e+03    42.20       281.5 
29978    32014    29825    1141     -9.2100000000e+02    -1.3096386091e+03    42.20       282.1 
30074    32121    29921    1172     -9.2100000000e+02    -1.3096386091e+03    42.20       282.7 
30170    32228    30017    1203     -9.2100000000e+02    -1.3096386091e+03    42.20       283.4 
30266    32335    30113    1234     -9.2100000000e+02    -1.3096386091e+03    42.20       284.0 
30362    32442    30209    1265     -9.2100000000e+02    -1.3096386091e+03    42.20       284.6 
30458    32549    30305    1296     -9.2100000000e+02    -1.3096386091e+03    42.20       285.3 
30554    32656    30401    1327     -9.2100000000e+02    -1.3096386091e+03    42.20       285.9 
30650    32763    30497    1358     -9.2100000000e+02    -1.3096386091e+03    42.20       286.5 
30746    32870    30593    1389     -9.2100000000e+02    -1.3096386091e+03    42.20       287.1 
30842    32977    30689    1420     -9.2100000000e+02    -1.3096386091e+03    42.20       287.9 
30938    33084    30785    1451     -9.2100000000e+02    -1.3096386091e+03    42.20       288.5 
31034    33191    30881    1482     -9.2100000000e+02    -1.3096386091e+03    42.20       289.2 
31130    33298    30977    1513     -9.2100000000e+02    -1.3096386091e+03    42.20       289.8 
31226    33405    31073    1544     -9.2100000000e+02    -1.3096386091e+03    42.20       290.4 
31322    33512    31169    1575     -9.2100000000e+02    -1.3096386091e+03    42.20       291.0 
31413    33613    31260    1605     -9.2100000000e+02    -1.3096386091e+03    42.20       291.7 
